data_element,group,status,format_length,national_codes,link
NHS NUMBER,Pathology,M,n10,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nhs/nhs_number_de.asp?shownav=0
LOCAL PATIENT IDENTIFIER (EXTENDED),Pathology,M,max an20,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/li/local_patient_identifier_(extended)_de.asp?shownav=0
NHS NUMBER STATUS INDICATOR CODE,Pathology,M,an2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nhs/nhs_number_status_indicator_code_de.asp?shownav=0
PERSON BIRTH DATE,Pathology,R,See DATE ,PEBD,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pers/person_birth_date_de.asp?shownav=0
ORGANISATION IDENTIFIER (CODE OF PROVIDER),Pathology,M,min an3 max an6,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_identifier_(code_of_provider)_de.asp?shownav=0
PERSON FAMILY NAME,Pathology,R,max an35,PSUR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pers/person_family_name_de.asp?shownav=0
PERSON GIVEN NAME,Pathology,R,max an35,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pers/person_given_name_de.asp?shownav=0
PATIENT USUAL ADDRESS (AT DIAGNOSIS),Pathology,R,an175 (5 lines each an35),"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pat/patient_usual_address_(at_diagnosis)_de.asp?shownav=0
PATIENT USUAL ADDRESS (AT DIAGNOSIS),Pathology,R,an175 (5 lines each an35),"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pat/patient_usual_address_(at_diagnosis)_de.asp?shownav=0
POSTCODE OF USUAL ADDRESS (AT DIAGNOSIS),Pathology,R,See POSTCODE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/po/postcode_of_usual_address_(at_diagnosis)_de.asp?shownav=0
PERSON STATED GENDER CODE,Pathology,R,an1,See PERSON STATED GENDER CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pers/person_stated_gender_code_de.asp?shownav=0
INVESTIGATION RESULT DATE,Pathology,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/i/inv/investigation_result_date_de.asp?shownav=0
SERVICE REPORT IDENTIFIER,Pathology,R,min an1 max an36,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/se/service_report_identifier_de.asp?shownav=0
PATHOLOGY OBSERVATION REPORT IDENTIFIER,Pathology,R,min an1 max an36,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pat/pathology_observation_report_identifier_de.asp?shownav=0
SERVICE REPORT STATUS,Pathology,R,an1,See SERVICE REPORT STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/se/service_report_status_de.asp?shownav=0
CARE PROFESSIONAL CODE (PATHOLOGY TEST REQUESTED BY),Pathology,R,an8,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/care/care_professional_code_(pathology_test_requested_by)_de.asp?shownav=0
ORGANISATION SITE IDENTIFIER (OF PATHOLOGY TEST REQUEST),Pathology,R,min an5 max an9,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_site_identifier_(of_pathology_test_request)_de.asp?shownav=0
SAMPLE COLLECTION DATE,Pathology,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sample_collection_date_de.asp?shownav=0
SAMPLE RECEIPT DATE,Pathology,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sample_receipt_date_de.asp?shownav=0
ORGANISATION IDENTIFIER (OF REPORTING PATHOLOGIST),Pathology,R,min an3 max an5,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_identifier_(of_reporting_pathologist)_de.asp?shownav=0
CONSULTANT CODE (PATHOLOGIST),Pathology,R,See CONSULTANT CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/consultant_code_(pathologist)_de.asp?shownav=0
SPECIMEN NATURE,Pathology,R,an1,See SPECIMEN NATURE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/so/specimen_nature_de.asp?shownav=0
SNOMED VERSION (PATHOLOGY),Pathology,R,an2,See SNOMED VERSION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sk/snomed_version_(pathology)_de.asp?shownav=0
TOPOGRAPHY (SNOMED PATHOLOGY),Pathology,R,min an6 max an18,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/to/topography_(snomed_pathology)_de.asp?shownav=0
MORPHOLOGY (SNOMED PATHOLOGY),Pathology,R,min an6 max an18,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/morphology_(snomed_pathology)_de.asp?shownav=0
PRIMARY DIAGNOSIS (ICD PATHOLOGICAL),Pathology,R,See ICD-10 CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pri/primary_diagnosis_(icd_pathological)_de.asp?shownav=0
TUMOUR LATERALITY (PATHOLOGICAL),Pathology,R,an1,See TUMOUR OR LESION LATERALITY,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_laterality_(pathological)_de.asp?shownav=0
PATHOLOGY INVESTIGATION TYPE,Pathology,R,an2,See PATHOLOGY INVESTIGATION TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pat/pathology_investigation_type_de.asp?shownav=0
PATHOLOGY REPORT TEXT,Pathology,R,max an270000,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pat/pathology_report_text_de.asp?shownav=0
LESION SIZE (PATHOLOGICAL),Pathology,R,max n3.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/le/lesion_size_(pathological)_de.asp?shownav=0
GRADE OF DIFFERENTIATION (PATHOLOGICAL),Pathology,R,an2,See GRADE OF DIFFERENTIATION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/gr/grade_of_differentiation_(pathological)_de.asp?shownav=0
CANCER VASCULAR OR LYMPHATIC INVASION,Pathology,R,an2,See CANCER VASCULAR OR LYMPHATIC INVASION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_vascular_or_lymphatic_invasion_de.asp?shownav=0
EXCISION MARGIN INDICATION CODE,Pathology,R,an2,See EXCISION MARGIN INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ex/excision_margin_indication_code_de.asp?shownav=0
SYNCHRONOUS TUMOUR INDICATOR,Pathology,R,an1,See SYNCHRONOUS TUMOUR INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sy/synchronous_tumour_indicator_de.asp?shownav=0
NUMBER OF NODES EXAMINED,Pathology,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_examined_de.asp?shownav=0
NUMBER OF NODES POSITIVE,Pathology,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_positive_de.asp?shownav=0
TNM CODING EDITION,Pathology,R,an1,See TNM CODING EDITION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/tnm_coding_edition_de.asp?shownav=0
TNM VERSION NUMBER (PATHOLOGICAL),Pathology,R,max an2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/tnm_version_number_(pathological)_de.asp?shownav=0
T CATEGORY (PATHOLOGICAL),Pathology,R,max an15,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/t_category_(pathological)_de.asp?shownav=0
N CATEGORY (PATHOLOGICAL),Pathology,R,max an15,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/n_category_(pathological)_de.asp?shownav=0
M CATEGORY (PATHOLOGICAL),Pathology,R,max an15,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/m_category_(pathological)_de.asp?shownav=0
TNM STAGE GROUPING (PATHOLOGICAL),Pathology,R,max an15,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/tnm_stage_grouping_(pathological)_de.asp?shownav=0
NEOADJUVANT THERAPY INDICATOR,Pathology,R,an1,See NEOADJUVANT THERAPY INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/ne/neoadjuvant_therapy_indicator_de.asp?shownav=0
MULTIFOCAL TUMOUR INDICATOR (BREAST),Pathology,R,an1,See MULTIFOCAL TUMOUR INDICATOR FOR BREAST,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/multifocal_tumour_indicator_(breast)_de.asp?shownav=0
DUCTAL CARCINOMA IN SITU GRADE,Pathology,R,an1,See DUCTAL CARCINOMA IN SITU GRADE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/dr/ductal_carcinoma_in_situ_grade_de.asp?shownav=0
NON INVASIVE TUMOUR SIZE,Pathology,R,max n3.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/no/non_invasive_tumour_size_de.asp?shownav=0
WHOLE TUMOUR SIZE,Pathology,R,max n3.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/w/we/whole_tumour_size_de.asp?shownav=0
METASTASIS EXTENT CODE,Pathology,R,an1,See METASTASIS EXTENT CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/men/metastasis_extent_code_de.asp?shownav=0
DISTANCE TO MARGIN,Pathology,R,max n2.max n1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/distance_to_margin_de.asp?shownav=0
ALLRED SCORE (ESTROGEN RECEPTOR),Pathology,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/allred_score_(estrogen_receptor)_de.asp?shownav=0
ESTROGEN RECEPTOR STATUS,Pathology,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ep/estrogen_receptor_status_de.asp?shownav=0
ALLRED SCORE (PROGESTERONE RECEPTOR),Pathology,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/allred_score_(progesterone_receptor)_de.asp?shownav=0
PROGESTERONE RECEPTOR STATUS,Pathology,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/prod/progesterone_receptor_status_de.asp?shownav=0
HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR STATUS,Pathology,R,an1,See RECEPTOR STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/h/hu/human_epidermal_growth_factor_receptor_status_de.asp?shownav=0
HUMAN EPIDERMAL GROWTH FACTOR IN SITU HYBRIDIZATION RECEPTOR STATUS,Pathology,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/h/hu/human_epidermal_growth_factor_in_situ_hybridization_receptor_status_de.asp?shownav=0
CYTOLOGY RESULT CODE (BREAST),Pathology,R,an2,See CYTOLOGY RESULT CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cy/cytology_result_code_(breast)_de.asp?shownav=0
CYTOLOGY RESULT CODE (NODE),Pathology,R,an2,See CYTOLOGY RESULT CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cy/cytology_result_code_(node)_de.asp?shownav=0
CORE BIOPSY RESULT CODE (BREAST),Pathology,R,max an3,See CORE BIOPSY RESULT CODE FOR BREAST,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/core_biopsy_result_code_(breast)_de.asp?shownav=0
CORE BIOPSY RESULT CODE (NODE),Pathology,R,an2,See CORE BIOPSY RESULT CODE FOR NODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/core_biopsy_result_code_(node)_de.asp?shownav=0
MOLECULAR DIAGNOSTIC CODE,Pathology,R,an2,See MOLECULAR DIAGNOSTIC CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/molecular_diagnostic_code_de.asp?shownav=0
HORMONE EXPRESSION TYPE,Pathology,R,an1,See HORMONE EXPRESSION TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/h/hi/hormone_expression_type_de.asp?shownav=0
MARGIN INVOLVED INDICATION CODE (POSITIVE PROXIMAL OR DISTAL RESECTION MARGIN),Pathology,R,an1,See MARGIN INVOLVED INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/margin_involved_indication_code_(positive_proximal_or_distal_resection_margin)_de.asp?shownav=0
DISTANCE TO CLOSEST NON PERITONEALISED RESECTION MARGIN,Pathology,R,max n2.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/distance_to_closest_non_peritonealised_resection_margin_de.asp?shownav=0
PLANE OF SURGICAL EXCISION TYPE,Pathology,R,an1,See PLANE OF SURGICAL EXCISION TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pl/plane_of_surgical_excision_type_de.asp?shownav=0
DISTANCE FROM DENTATE LINE,Pathology,R,max n3.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/distance_from_dentate_line_de.asp?shownav=0
DISTANCE BEYOND MUSCULARIS PROPRIA,Pathology,R,max n3.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/distance_beyond_muscularis_propria_de.asp?shownav=0
PREOPERATIVE THERAPY RESPONSE TYPE,Pathology,R,an1,See PREOPERATIVE THERAPY RESPONSE TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pot/preoperative_therapy_response_type_de.asp?shownav=0
MARGIN INVOLVED INDICATION CODE (CIRCUMFERENTIAL MARGIN),Pathology,R,an1,See MARGIN INVOLVED INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/margin_involved_indication_code_(circumferential_margin)_de.asp?shownav=0
GRADE OF DIFFERENTIATION (COLORECTAL PATHOLOGICAL),Pathology,R,an1,See GRADE OF DIFFERENTIATION FOR COLORECTAL,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/gr/grade_of_differentiation_(colorectal_pathological)_de.asp?shownav=0
TUMOUR RUPTURE INDICATOR,Pathology,R,an1,See TUMOUR RUPTURE INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_rupture_indicator_de.asp?shownav=0
ANAPLASTIC NEPHROBLASTOMA TYPE,Pathology,R,an1,See ANAPLASTIC NEPHROBLASTOMA TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/anaplastic_nephroblastoma_type_de.asp?shownav=0
TUMOUR INVASION INDICATOR (PERIRENAL FAT),Pathology,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(perirenal_fat)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (RENAL SINUS),Pathology,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(renal_sinus)_de.asp?shownav=0
RENAL VEIN TUMOUR INDICATOR,Pathology,R,an1,See RENAL VEIN TUMOUR INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/ren/renal_vein_tumour_indicator_de.asp?shownav=0
VIABLE TUMOUR INDICATOR,Pathology,R,an1,See VIABLE TUMOUR INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/v/viable_tumour_indicator_de.asp?shownav=0
TUMOUR LOCAL STAGE,Pathology,R,an1,See TUMOUR LOCAL STAGE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_local_stage_de.asp?shownav=0
MICROSCOPIC INVOLVEMENT INDICATION CODE (FALLOPIAN TUBE),Pathology,R,an1,See MICROSCOPIC INVOLVEMENT INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indication_code_(fallopian_tube)_de.asp?shownav=0
MICROSCOPIC INVOLVEMENT INDICATION CODE (OVARIAN),Pathology,R,an1,See MICROSCOPIC INVOLVEMENT INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indication_code_(ovarian)_de.asp?shownav=0
MICROSCOPIC INVOLVEMENT INDICATOR (SEROSA),Pathology,R,an1,See MICROSCOPIC INVOLVEMENT INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indicator_(serosa)_de.asp?shownav=0
OMENTUM INVOLVEMENT INDICATION CODE,Pathology,R,an1,See OMENTUM INVOLVEMENT INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/oc/omentum_involvement_indication_code_de.asp?shownav=0
CAPSULE STATUS,Pathology,R,an1,See CAPSULE STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/capsule_status_de.asp?shownav=0
OVARY SURFACE INVOLVEMENT INDICATOR,Pathology,R,an1,See OVARY SURFACE INVOLVEMENT INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/ov/ovary_surface_involvement_indicator_de.asp?shownav=0
PERITONEAL CYTOLOGY RESULT CODE,Pathology,R,an1,See PERITONEAL CYTOLOGY RESULT CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pe/peritoneal_cytology_result_code_de.asp?shownav=0
PERITONEAL INVOLVEMENT INDICATOR,Pathology,R,an1,See PERITONEAL INVOLVEMENT INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pe/peritoneal_involvement_indicator_de.asp?shownav=0
INVASIVE THICKNESS,Pathology,R,max n2.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/i/inv/invasive_thickness_de.asp?shownav=0
MICROSCOPIC INVOLVEMENT INDICATOR (CERVICAL STROMA),Pathology,R,an1,See MICROSCOPIC INVOLVEMENT INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indicator_(cervical_stroma)_de.asp?shownav=0
MYOMETRIAL INVASION IDENTIFICATION CODE,Pathology,R,an1,See MYOMETRIAL INVASION IDENTIFICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/myometrial_invasion_identification_code_de.asp?shownav=0
MICROSCOPIC INVOLVEMENT INDICATOR (PARAMETRIUM),Pathology,R,an1,See MICROSCOPIC INVOLVEMENT INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indicator_(parametrium)_de.asp?shownav=0
PERITONEAL WASHINGS IDENTIFIED,Pathology,R,an1,See PERITONEAL WASHINGS IDENTIFIED,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pe/peritoneal_washings_identified_de.asp?shownav=0
CERVICAL GLANDULAR INTRAEPITHELIAL NEOPLASIA PRESENCE AND GRADE,Pathology,R,an1,See CERVICAL GLANDULAR INTRAEPITHELIAL NEOPLASIA PRESENCE AND GRADE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/ce/cervical_glandular_intraepithelial_neoplasia_presence_and_grade_de.asp?shownav=0
CERVICAL INTRAEPITHELIAL NEOPLASIA PRESENCE AND GRADE,Pathology,R,an1,See CERVICAL INTRAEPITHELIAL NEOPLASIA PRESENCE AND GRADE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/ce/cervical_intraepithelial_neoplasia_presence_and_grade_de.asp?shownav=0
SMILE INDICATION CODE,Pathology,R,an1,See SMILE INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sk/smile_indication_code_de.asp?shownav=0
RESECTION MARGIN INVOLVEMENT INDICATOR,Pathology,R,an1,See RESECTION MARGIN INVOLVEMENT INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/resection_margin_involvement_indicator_de.asp?shownav=0
PARACERVICAL OR PARAMETRIAL INVOLVEMENT INDICATOR,Pathology,R,an1,See PARACERVICAL OR PARAMETRIAL INVOLVEMENT INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/paracervical_or_parametrial_involvement_indicator_de.asp?shownav=0
UNINVOLVED CERVICAL STROMA THICKNESS,Pathology,R,max n2.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/u/un/uninvolved_cervical_stroma_thickness_de.asp?shownav=0
MICROSCOPIC INVOLVEMENT INDICATOR (VAGINAL),Pathology,R,an1,See MICROSCOPIC INVOLVEMENT INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indicator_(vaginal)_de.asp?shownav=0
CERVICAL NODE STATUS,Pathology,R,an2,See CERVICAL NODE STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/ce/cervical_node_status_de.asp?shownav=0
NUMBER OF NODES EXAMINED (PARA-AORTIC),Pathology,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_examined_(para-aortic)_de.asp?shownav=0
NUMBER OF NODES POSITIVE (PARA-AORTIC),Pathology,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_positive_(para-aortic)_de.asp?shownav=0
NUMBER OF NODES EXAMINED (PELVIC),Pathology,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_examined_(pelvic)_de.asp?shownav=0
NUMBER OF NODES POSITIVE (PELVIC),Pathology,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_positive_(pelvic)_de.asp?shownav=0
NUMBER OF NODES EXAMINED (INGUINO-FEMORAL),Pathology,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_examined_(inguino-femoral)_de.asp?shownav=0
NUMBER OF NODES POSITIVE (INGUINO-FEMORAL),Pathology,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_positive_(inguino-femoral)_de.asp?shownav=0
EXTRANODAL SPREAD INDICATOR,Pathology,R,an1,See EXTRANODAL SPREAD INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ex/extranodal_spread_indicator_de.asp?shownav=0
MAXIMUM DEPTH OF INVASION,Pathology,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mat/maximum_depth_of_invasion_de.asp?shownav=0
BONE INVASION INDICATION CODE,Pathology,R,an1,See BONE INVASION INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/bo/bone_invasion_indication_code_de.asp?shownav=0
CARTILAGE INVASION INDICATION CODE,Pathology,R,an1,See CARTILAGE INVASION INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/care/cartilage_invasion_indication_code_de.asp?shownav=0
ANATOMICAL SIDE (NECK DISSECTION),Pathology,R,an1,See ANATOMICAL SIDE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/anatomical_side_(neck_dissection)_de.asp?shownav=0
MACROSCOPIC EXTRAGLANDULAR EXTENSION INDICATION CODE,Pathology,R,an1,See MACROSCOPIC EXTRAGLANDULAR EXTENSION INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/macroscopic_extraglandular_extension_indication_code_de.asp?shownav=0
ANATOMICAL SIDE (POSITIVE NODES),Pathology,R,an1,See ANATOMICAL SIDE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/anatomical_side_(positive_nodes)_de.asp?shownav=0
LARGEST METASTASIS (LEFT NECK),Pathology,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/largest_metastasis_(left_neck)_de.asp?shownav=0
LARGEST METASTASIS (RIGHT NECK),Pathology,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/largest_metastasis_(right_neck)_de.asp?shownav=0
EXTRACAPSULAR SPREAD INDICATION CODE,Pathology,R,an1,See EXTRACAPSULAR SPREAD INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ex/extracapsular_spread_indication_code_de.asp?shownav=0
TUMOUR PROXIMITY TO CARINA,Pathology,R,an1,See TUMOUR PROXIMITY TO CARINA,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_proximity_to_carina_de.asp?shownav=0
EXTENT OF ATELECTASIS,Pathology,R,an1,See EXTENT OF ATELECTASIS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ex/extent_of_atelectasis_de.asp?shownav=0
EXTENT OF PLEURAL INVASION,Pathology,R,an1,See EXTENT OF PLEURAL INVASION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ex/extent_of_pleural_invasion_de.asp?shownav=0
TUMOUR INVASION INDICATOR (PERICARDIUM),Pathology,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(pericardium)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (DIAPHRAGM),Pathology,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(diaphragm)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (GREAT VESSELS),Pathology,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(great%20vessels)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (HEART),Pathology,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(heart)_de.asp?shownav=0
MALIGNANT PLEURAL EFFUSION INDICATOR,Pathology,R,an1,See MALIGNANT PLEURAL EFFUSION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/malignant_pleural_effusion_indicator_de.asp?shownav=0
SATELLITE TUMOUR NODULES LOCATION,Pathology,R,an1,See SATELLITE TUMOUR NODULES LOCATION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/satellite_tumour_nodules_location_de.asp?shownav=0
GENETIC CONFIRMATION INDICATOR,Pathology,R,an1,See GENETIC CONFIRMATION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/genetic_confirmation_indicator_de.asp?shownav=0
SARCOMA SURGICAL MARGIN,Pathology,R,an1,See SARCOMA SURGICAL MARGIN,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sarcoma_surgical_margin_de.asp?shownav=0
TUMOUR BREACH IDENTIFIER,Pathology,R,an1,See TUMOUR BREACH IDENTIFIER,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_breach_identifier_de.asp?shownav=0
TUMOUR NECROSIS,Pathology,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_necrosis_de.asp?shownav=0
TUMOUR DEPTH,Pathology,R,an1,See TUMOUR DEPTH,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_depth_de.asp?shownav=0
MITOTIC RATE (SARCOMA),Pathology,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/mitotic_rate_(sarcoma)_de.asp?shownav=0
SKIN CANCER LESION NUMBER,Pathology,R,max an3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sk/skin_cancer_lesion_number_de.asp?shownav=0
PERINEURAL INVASION INDICATOR,Pathology,R,an1,See PERINEURAL INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pe/perineural_invasion_indicator_de.asp?shownav=0
